id	xlink_label	xlink_role	xlink_type	xml_lang	label
label_NotesTradeAndOtherReceivablesConsolidatedFinancialStatementsIFRSTextBlock_2	label_NotesTradeAndOtherReceivablesConsolidatedFinancialStatementsIFRSTextBlock_2	http://www.xbrl.org/2003/role/verboseLabel	resource	ja	注記事項－営業債権及びその他の債権、連結財務諸表（IFRS） [テキストブロック]
label_NotesTradeReceivablesConsolidatedFinancialStatementsIFRSHeading	label_NotesTradeReceivablesConsolidatedFinancialStatementsIFRSHeading	http://www.xbrl.org/2003/role/label	resource	ja	注記事項－営業債権
label_NotesTradeReceivablesConsolidatedFinancialStatementsIFRSHeading_2	label_NotesTradeReceivablesConsolidatedFinancialStatementsIFRSHeading_2	http://www.xbrl.org/2003/role/verboseLabel	resource	ja	注記事項－営業債権、連結財務諸表（IFRS） [目次項目]
label_NotesTradeReceivablesConsolidatedFinancialStatementsIFRSTextBlock	label_NotesTradeReceivablesConsolidatedFinancialStatementsIFRSTextBlock	http://www.xbrl.org/2003/role/label	resource	ja	注記事項－営業債権
label_NotesTradeReceivablesConsolidatedFinancialStatementsIFRSTextBlock_2	label_NotesTradeReceivablesConsolidatedFinancialStatementsIFRSTextBlock_2	http://www.xbrl.org/2003/role/verboseLabel	resource	ja	注記事項－営業債権、連結財務諸表（IFRS） [テキストブロック]
label_NotesTradeAndOtherReceivables2ConsolidatedFinancialStatementsIFRSHeading	label_NotesTradeAndOtherReceivables2ConsolidatedFinancialStatementsIFRSHeading	http://www.xbrl.org/2003/role/label	resource	ja	注記事項－売上債権及びその他の債権
label_NotesTradeAndOtherReceivables2ConsolidatedFinancialStatementsIFRSHeading_2	label_NotesTradeAndOtherReceivables2ConsolidatedFinancialStatementsIFRSHeading_2	http://www.xbrl.org/2003/role/verboseLabel	resource	ja	注記事項－売上債権及びその他の債権、連結財務諸表（IFRS） [目次項目]
label_NotesTradeAndOtherReceivables2ConsolidatedFinancialStatementsIFRSTextBlock	label_NotesTradeAndOtherReceivables2ConsolidatedFinancialStatementsIFRSTextBlock	http://www.xbrl.org/2003/role/label	resource	ja	注記事項－売上債権及びその他の債権
label_NotesTradeAndOtherReceivables2ConsolidatedFinancialStatementsIFRSTextBlock_2	label_NotesTradeAndOtherReceivables2ConsolidatedFinancialStatementsIFRSTextBlock_2	http://www.xbrl.org/2003/role/verboseLabel	resource	ja	注記事項－売上債権及びその他の債権、連結財務諸表（IFRS） [テキストブロック]
label_NotesTradeReceivables2ConsolidatedFinancialStatementsIFRSHeading	label_NotesTradeReceivables2ConsolidatedFinancialStatementsIFRSHeading	http://www.xbrl.org/2003/role/label	resource	ja	注記事項－売上債権
label_NotesTradeReceivables2ConsolidatedFinancialStatementsIFRSHeading_2	label_NotesTradeReceivables2ConsolidatedFinancialStatementsIFRSHeading_2	http://www.xbrl.org/2003/role/verboseLabel	resource	ja	注記事項－売上債権、連結財務諸表（IFRS） [目次項目]
label_NotesTradeReceivables2ConsolidatedFinancialStatementsIFRSTextBlock	label_NotesTradeReceivables2ConsolidatedFinancialStatementsIFRSTextBlock	http://www.xbrl.org/2003/role/label	resource	ja	注記事項－売上債権
